PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,Label,classification
0.001384,0.001475,0.282123,0.001475,0.29661,0.432024,0.336066,0.790262,0.867045,0.132785,0.00232,0.002358,0,0.056911,0.010482,0.869703,0.755102,0.011696,0.01046,0.582397,0.063492,0.003392,0.486111,0.002089,0.721607,0.091371,0.040096,0.001873,0.239796,0.188198,0.156887,0.454352,0.000944,0.000775,0.417444,0.000973,0.00128,0,0,0,0,0,0.459075,0.001532,0,0.000594,0.060483,0.000242,0,0.032382,0.000345,TRUE,TRUE
0.009194,0.009434,0.385475,0.009434,0.313559,0.39577,0.288934,0.82397,0.8625,0.122209,0.0058,0.021226,0.010638,0.060976,0.020964,0.858051,0.720408,0.040936,0.031381,0.726592,0.23088,0.021101,0.452778,0.012722,0.699446,0.156345,0.099987,0.011895,0.260204,0.271933,0.223546,0.346072,0.00776,0.0068,0.410861,0.006939,0.007944,0.091211,0,0.014134,0,0,0.491103,0.007067,0.002593,0.0095,0.158205,0.005495,0.002904,0.035758,0.001997,TRUE,TRUE
0.003301,0.003489,0.304469,0.003489,0.322034,0.432024,0.260246,0.794007,0.764773,0.13396,0.067285,0.004717,0,0.178862,0.018868,0.770127,0.810204,0.019493,0.019874,0.601124,0.098124,0.005696,0.544444,0.004342,0.84072,0.059898,0.074644,0.004132,0.341837,0.209767,0.181561,0.352442,0.001599,0.001114,0.357652,0.002091,0.002186,0,0,0,0,0.014608,0,0,0.00012,0.001402,0.060507,0.000914,0,0.036992,0.000714,TRUE,TRUE
0.008966,0.008423,0.645251,0.008423,0.372881,0.483384,0.19877,0.734082,0.809091,0.158637,0.009281,0.033019,0.021277,0.085366,0.056604,0.778602,0.761224,0.083821,0.066946,0.683521,0.253968,0.020993,0.502778,0.010164,0.792244,0.090355,0.125457,0.009832,0.362245,0.300131,0.280024,0.292994,0.005157,0.004028,0.399342,0.005714,0.005649,0.079602,0.02,0.014134,0,0.017264,0.459075,0.006178,0.001251,0.006072,0.121101,0.002741,0.007528,0.02997,0.002126,TRUE,TRUE
0.001037,0.001142,0.195531,0.001142,0.440678,0.47432,0.272541,0.831461,0.170455,0.856639,0.00348,0.004717,0,0.03252,0.008386,0.228814,0.808163,0.003899,0.007322,0.541199,0.134199,0.001882,0.616667,0.001447,0.768698,0.096447,0.045896,0.001294,0.387755,0.17591,0.061065,0.547771,0.000379,0.000483,0.38508,0.000711,0.000651,0.950249,0,0,0,0,0.626335,0.007544,0,0.00087,0.101287,0.000024,0.000269,0.038347,0.000226,TRUE,TRUE
0.034618,0.034091,0.502793,0.034092,0.364407,0.453172,0.196721,0.790262,0.665909,0.289072,0.009281,0.061321,0.010638,0.101626,0.045073,0.654661,0.691837,0.105263,0.074268,0.842697,0.481962,0.103127,0.355556,0.044337,0.691136,0.217259,0.163283,0.041154,0.331633,0.429225,0.376012,0.252654,0.03196,0.040345,0.396599,0.023965,0.02528,0.20398,0.025455,0.061837,0,0.017264,0.519573,0.056414,0.014969,0.037265,0.175062,0.023989,0.143948,0.04295,0.006011,TRUE,TRUE
0.001979,0.002133,0.251397,0.002133,0.381356,0.471299,0.297131,0.865169,0.415909,0.599295,0.00348,0.007075,0.021277,0.03252,0.020964,0.443856,0.746939,0.013645,0.012552,0.724719,0.177489,0.004402,0.394444,0.002917,0.718837,0.092386,0.068844,0.00261,0.290816,0.245079,0.147606,0.490446,0.00188,0.001546,0.402084,0.001065,0.001532,0,0,0,0,0,0.380783,0.003535,0.000325,0.001656,0.114777,0.000671,0,0.052365,0.000308,TRUE,TRUE
0.002984,0.003126,0.329609,0.003126,0.330508,0.416918,0.327869,0.7603,0.944318,0.049354,0.00348,0.007075,0.010638,0.04878,0.022013,0.932203,0.730612,0.019493,0.026151,0.554307,0.063492,0.00689,0.438889,0.004208,0.782548,0.097462,0.0551,0.003921,0.25,0.198469,0.126178,0.424628,0.002152,0.002107,0.419638,0.00192,0.002124,0,0,0,0,0,0,0.005181,0.000819,0.001762,0.088069,0.000768,0,0.039764,0.000596,TRUE,TRUE
0.009346,0.009465,0.421788,0.009465,0.432203,0.516616,0.25,0.779026,0.942045,0.031727,0.012761,0.016509,0.031915,0.065041,0.131027,0.832627,0.720408,0.155945,0.120293,0.58427,0.145743,0.02168,0.436111,0.011566,0.727147,0.096447,0.099609,0.010592,0.433673,0.21352,0.191097,0.394904,0.007081,0.007976,0.392759,0.007156,0.00831,0,0,0.015901,0,0.01328,0.44306,0.019756,0.005738,0.011398,0.191015,0.004165,0.001506,0.030286,0.002365,TRUE,TRUE
0.041025,0.042069,0.388268,0.042054,0.440678,0.501511,0.213115,0.827715,0.560227,0.414806,0.011601,0.04717,0.010638,0.060976,0.025157,0.573093,0.714286,0.062378,0.052301,0.728464,0.225108,0.101266,0.436111,0.052136,0.65374,0.17665,0.112596,0.048027,0.382653,0.253091,0.225345,0.401274,0.033824,0.038837,0.390016,0.031174,0.033274,0.311774,0,0.042403,0,0.015936,0.524911,0.080911,0.016472,0.04387,0.159592,0.022626,0.040114,0.065932,0.004834,TRUE,TRUE
